SNP	GWAS_DISEASE	COMPONENT	FDR	EFFECT	DISEASE_ABBREVIATED
2:120023692	late-onset alzheimer's disease	365	0.0498583770262475	-0.709623771711269	alzheimer
6:158265786	alzheimer disease and age of onset	118	0.00419080852911403	-0.718059880638173	alzheimer
2:128396167	alzheimer's disease (cognitive decline)	264	0.00385680639217369	0.783947783207395	alzheimer
2:23238943	alzheimer's disease (late onset)	163	0.0385529317581963	0.433777652448851	alzheimer
2:127891427	alzheimer's disease in apoe e4- carriers	31	0.0843043025384081	0.313313254787289	alzheimer
11:59923508	alzheimer's_disease_(late_onset)	26	0.152121265618226	-3.81988823086481	alzheimer
8:27467686	alzheimer's_disease_(late_onset)	22	0.158014264250381	3.85932986401138	alzheimer
21:38007943	asthma and hay fever	356	0.064037039261227	0.123587249595695	asthma
13:47843377	asthma or chronic obstructive pulmonary disease	88	0.0787824212163941	-0.484030875360029	asthma
17:13559080	asthma (childhood onset)	464	0.0928147900957645	0.590158117147768	asthma
6:32625869	asthma	363	0.00541766475375623	0.459643472360262	asthma
3:182869818	bipolar disorder	424	0.0547913551604673	-0.464793504955194	bipolar
22:26403599	schizophrenia, bipolar disorder and depression (combined)	290	0.0012646986326616	-0.791159337856497	bipolar
6:32358270	bipolar disorder and schizophrenia	363	0.00505822531287806	-0.459399376773085	bipolar
6:34194866	waist circumference adjusted for bmi (joint analysis main effects and physical activity interaction)	266	0.131162930030521	-0.0528872999294147	body mass index
6:130354855	hip circumference adjusted for bmi	200	0.102853367039235	0.129707427816029	body mass index
6:31848220	waist-to-hip ratio adjusted for bmi in non-smokers	363	0.00372271398469856	0.367394392947327	body mass index
16:53816275	body mass in chronic obstructive pulmonary disease	169	0.151666242719967	-0.290077944615827	body mass index
5:64448670	body mass index (change over time) in lung cancer or chronic obstructive pulmonary disease	225	0.0743822206201215	-0.53485976850613	body mass index
6:383546	celiac disease	118	0.00657524222614616	-0.711333694160876	celiac
1:181426910	coronary artery calcification	118	0.10085	-0.505993711400615	coronary
1:109822166	coronary heart disease	387	0.174859	-0.346474222716723	coronary
7:150690176	coronary artery disease	283	0.0700430765521852	-0.555316816148366	coronary
4:103198082	hdl cholesterol	495	0.118644932424241	0.474821319203554	hdl
7:150529449	hdl cholesterol levels	14	0.185563438315779	-0.398305973925654	hdl
6:31272261	height	363	0.000190143021087692	0.448263990445204	height
4:3444503	inflammatory bowel disease	10	0.011353020610436	0.652146306307848	inflammatory bowel disease
10:81060317	inflammatory bowel disease (early onset)	54	0.14333480430774	-0.261088098817785	inflammatory bowel disease
19:10838486	ldl cholesterol	104	0.00803382143975382	-0.572229338957147	ldl
1:109822166	ldl cholesterol levels	387	0.174859	-0.346474222716723	ldl
12:24006406	ldl peak particle diameter (total fat intake interaction)	71	0.0570759506202167	-0.493492756340829	ldl
1:65979280	obesity (early onset extreme)	160	0.138324	-0.415188641221932	obesity
6:55473294	obesity-related traits	154	0.00164478471880485	0.597201832795439	obesity
16:53822651	obesity	169	0.14075202338766	-0.293032142968847	obesity
15:27997247	parkinson's disease (age of onset)	395	0.0370097203605313	0.550900384678536	parkinson
6:32409530	parkinson's disease	363	0.000173756480057045	0.397631984429216	parkinson
21:34837048	psoriasis	180	0.121044587092706	-0.440052988374384	psoriasis
6:32680928	rheumatoid arthritis	363	0.000854629284532879	0.58347602711116	rheumatoid
18:29273129	amyotrophic lateral sclerosis	75	0.13555779475757	0.462075989966194	sclerosis
4:108959282	amyotrophic lateral sclerosis (sporadic)	118	0.0271591100210473	-0.574581437866964	sclerosis
6:32409530	systemic sclerosis	363	0.000173756480057045	0.397631984429216	sclerosis
8:103452308	type 2 diabetes (age of onset)	477	0.10395851168764	0.45559197567734	type 1 diabetes
6:32685550	type 2 diabetes	363	0.00304204651555295	0.606179518498759	type 1 diabetes
6:32586854	ulcerative colitis or crohn's disease	363	0.0050289162037986	0.498797041810987	ulcerative
4:106617136	weight	33	0.0719188735060724	0.568338454477157	weight
6:32341353	coronary heart disease	363	9.45554597137711e-17	0.621331726215244	coronary
6:32408527	type 1 diabetes	363	3.17055718419788e-21	0.665409990380644	type 1 diabetes
6:32445691	c-reactive protein levels or hdl-cholesterol levels (pleiotropy)	363	1.47505728227948e-28	0.751697303511077	hdl
12:69752200	cerebrospinal fluid biomarker levels	105	1.10084137223342e-30	0.523304121376434	coronary
3:101023748	inflammatory bowel disease	391	0.0361308442503726	0.332579681698508	inflammatory bowel disease
6:32071008	schizophrenia	363	0.000392598632346114	0.654808034915727	schizophrenia
6:32573991	systemic lupus erythematosus	363	0.00177588089730312	0.493010625272611	lupus
